custId,contactName,No_Of_Orders
1,"Allen, Michael",6
3,"Peoples, John",7
4,"Arndt, Torsten",13
5,"Higginbotham, Tom",18
6,"Poland, Carole",7
7,"Bansal, Dushyant",11
9,"Raghav, Amritansh",17
10,"Bassols, Pilar Colome",14
11,"Jaffe, David",10
12,"Ray, Mike",6
14,"Jelitto, Jacek",8
17,"Jones, TiAnna",6
19,"Boseman, Randall",8
20,"Kane, John",30
21,"Russo, Giuseppe",7
24,"San Juan, Patricia",19
25,"Carlson, Jason",15
27,"Schmöllerl, Martin",6
28,"Cavaglieri, Giorgio",8
30,"Shabalin, Rostislav",10
31,"Cheng, Yao-Qiang",9
32,"Krishnan, Venky",11
34,"Cohen, Shy",14
35,"Langohr, Kris",18
37,"Crăciun, Ovidiu V.",19
38,"Lee, Frank",10
39,"Song, Lolan",14
41,"Litton, Tim",14
44,"Louverdis, George",15
46,"Dressler, Marlies",14
47,"Lupu, Cornel",12
48,"Szymczak, Radosław",8
49,"Duerr, Bernard",10
50,"Mace, Donald",7
51,"Taylor, Maurice",13
55,"Egelund-Muller, Anja",10
56,"Marinova, Nadejda",10
58,"Fakhouri, Fadi",6
59,"Meston, Tosh",10
61,"Florczyk, Krzysztof",9
62,"Misiec, Anna",13
63,"Veronesi, Giorgio",28
65,"Moore, Michael",18
66,"Voss, Florian",12
67,"Garden, Euan",11
68,"Myrcha, Jacek",10
70,"Ginters, Kaspars",6
71,"Navarro, Tomás",31
72,"Welcker, Brian",9
73,"Gonzalez, Nuria",7
75,"Wojciechowska, Agnieszka",9
76,"Gulbis, Katrin",12
79,"Wickham, Jim",6
80,"Geschwandtner, Jens",10
81,"Nagel, Jean-Philippe",6
83,"Fonteneau, Karl",11
84,"Tuntisangaroon, Sittichai",10
86,"Syamala, Manoj",10
87,"Ludwig, Michael",15
88,"Li, Yan",9
89,"Smith Jr., Ronaldo",14
90,"Larsson, Katarina",7
91,"Conn, Steve",7
