Customer_Name,Total_Revenue,Customer_Rank
"Veronesi, Giorgio",110277.3050,1
"Kane, John",104874.9785,2
"Navarro, Tomás",104361.9500,3
"Moore, Michael",51097.8005,4
"Crăciun, Ovidiu V.",49979.9050,5
"Cohen, Shy",32841.3700,6
"Song, Lolan",30908.3840,7
"San Juan, Patricia",29567.5625,8
"Taylor, Maurice",28872.1900,9
"Smith Jr., Ronaldo",27363.6050,10
"Carlson, Jason",26656.5595,11
"Misiec, Anna",25717.4975,12
"Higginbotham, Tom",24927.5775,13
"Gulbis, Katrin",24088.7800,14
"Meston, Tosh",23128.8600,15
"Langohr, Kris",22768.7640,16
"Raghav, Amritansh",21963.2525,17
"Bassols, Pilar Colome",20801.6000,18
"Myrcha, Jacek",19343.7790,19
"Louverdis, George",19261.4100,20
"Bansal, Dushyant",18534.0800,21
"Krishnan, Venky",18507.4500,22
"Gonzalez, Nuria",16817.0975,23
"Lupu, Cornel",16476.5650,24
"Welcker, Brian",16215.3250,25
"Dressler, Marlies",16076.6000,26
"Fonteneau, Karl",15843.9250,27
"Ludwig, Michael",15648.7025,28
"Egelund-Muller, Anja",15177.4625,29
"Boseman, Randall",14761.0350,30
"Arndt, Torsten",13390.6500,31
"Marinova, Nadejda",12496.2000,32
"Garden, Euan",12450.8000,33
"Jelitto, Jacek",12348.8800,34
"Khanna, Karan",11666.9000,35
"Shabalin, Rostislav",11446.3600,36
"Wojciechowska, Agnieszka",11441.6300,37
"Geschwandtner, Jens",10812.1500,38
"Mace, Donald",9736.0750,39
"Syamala, Manoj",9588.4250,40
"Litton, Tim",9328.2000,41
"Tuntisangaroon, Sittichai",9182.4300,42
"Cheng, Yao-Qiang",8414.1350,43
"Duerr, Bernard",7176.2150,44
"Voss, Florian",7048.2400,45
"Peoples, John",7023.9775,46
"Nagel, Jean-Philippe",6850.6640,47
"Florczyk, Krzysztof",6664.8100,48
"Cavaglieri, Giorgio",6427.4225,49
"Lee, Frank",6146.3000,50
"Jaffe, David",6089.9000,51
"Li, Yan",6068.2000,52
"Ginters, Kaspars",5735.1500,53
"Uppal, Sunil",5044.9400,54
"Dupont-Roc, Patrice",5042.2000,55
"Wickham, Jim",4778.1400,56
"Allen, Michael",4273.0000,57
"Szymczak, Radosław",4258.6000,58
"Fakhouri, Fadi",4242.2000,59
"Ilyina, Julia",4232.8500,60
"Russo, Giuseppe",4107.5500,61
"Richardson, Shawn",3810.7500,62
"Jones, TiAnna",3763.2100,63
"Conn, Steve",3531.9500,64
"Tiano, Mike",3460.2000,65
"Osorio, Cristian",3361.0000,66
"Poland, Carole",3239.8000,67
"Koch, Paul",3172.1600,68
"Larsson, Katarina",3161.3500,69
"Sunkammurali,  Krishna",3076.4725,70
"Smith, Denise",3063.2000,71
"Gaffney, Lawrie",2844.1000,72
"O’Brien, Dave",2423.3500,73
"De Oliveira, Jose",1992.0500,74
"Young, Robin",1947.2400,75
"Ray, Mike",1814.8000,76
"Birkby, Dana",1719.1000,77
"Rizaldy, Arif",1615.9000,78
"Veninga, Tjeerd",1571.2000,79
"Schmöllerl, Martin",1545.7000,80
"Sigurdarson, Hallur ",1488.7000,81
"McLin, Nkenge",1480.0000,82
"Watters, Jason M.",1467.2900,83
"Hassall, Mark",1402.9500,84
"Kolesnikova, Katerina",836.7000,85
"Mallit, Ken",649.0000,86
"Steiner, Dominik",522.5000,87
"Deshpande, Anu",357.0000,88
"Benito, Almudena",100.8000,89
